GIF_ID,File_Name,Caption,Enhanced_Caption
2XskdWPH2WxnxfMnZAI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/2XskdWPH2WxnxfMnZAI.gif,Happy Hour Drinking GIF,a woman in a dress sitting at a table
S5Pgd5fykea99hAm8r,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/S5Pgd5fykea99hAm8r.gif,Michael J Fox Film GIF by BAFTA,a man in a suit and glasses is standing at a podium
PJTQJPEoWvuKY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/PJTQJPEoWvuKY.gif,Cruel Intentions Parallels GIF,a woman in a dress standing in front of a crowd
ysoK6qc1xpNxm,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/ysoK6qc1xpNxm.gif,Scared Who Framed Roger Rabbit GIF,a cartoon character in a red dress and a white rabbit
asLOZFUdcYsfK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/asLOZFUdcYsfK.gif,Howard The Duck 80S GIF,a white cat with a pink shirt
1310XHyc6yC6ju,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/1310XHyc6yC6ju.gif,Neverending Story Wink GIF,a stuffed animal laying on a floor
k90nbKSCPUfra,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/k90nbKSCPUfra.gif,classic west side story GIF,a woman in a purple dress
jPJz9s6VAqLLi,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/jPJz9s6VAqLLi.gif,Happy Chris Farley GIF,a man in a life vest
qUrOyBLlXGwXS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qUrOyBLlXGwXS.gif,Jennifer Lawrence Film GIF by Mic,a woman with long blonde hair and a white shirt
cuRKusHF9CfLK9ERCb,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/cuRKusHF9CfLK9ERCb.gif,Tom Cruise Stunt GIF by Mission: Impossible,a man in a suit and sunglasses is holding a gun
olzqYUAaUowBa,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/olzqYUAaUowBa.gif,Scared The Road To El Dorado GIF,the princess and the prince
FcLy8GpsFyUog,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/FcLy8GpsFyUog.gif,Fred Astaire GIF by Maudit,a man in a suit is dancing in a living room
j5QcmXoFWl4Q0,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/j5QcmXoFWl4Q0.gif,Keanu Reeves Reaction GIF,a man with a smile
xTiTnB3a61IMwShHmE,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/xTiTnB3a61IMwShHmE.gif,Oh No Omg GIF,a woman in a dress and gloves standing in a room
oXcOeuhsXlOSrSHMPw,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/oXcOeuhsXlOSrSHMPw.gif,Aidy Bryant Hollywood GIF by Film Independent Spirit Awards,a woman in a black dress standing on a stage
GY5xMevFOGi1a,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/GY5xMevFOGi1a.gif,Rudolph The Red Nosed Reindeer Christmas GIF,a man is standing in a room with a bunch of presents
d8A7MUMOydhhC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/d8A7MUMOydhhC.gif,Elizabeth Taylor Congrats On Your Face Congrats One Everythin GIF by Maudit,a black and white photo of a woman
FvgJBCT7mKTKM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/FvgJBCT7mKTKM.gif,Angry Djimon Hounsou GIF,a man is walking down a hill
HFyDr6tKVe90Y,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/HFyDr6tKVe90Y.gif,Ethan Embry Dancing GIF,a man in a red suit
9Cj0oZUR3VslO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/9Cj0oZUR3VslO.gif,Star Wars Episode 6 GIF,a woman with a hoodie and a man with a hoodie
bl2FKRXQaFgf6,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/bl2FKRXQaFgf6.gif,serious django unchained GIF,a man standing in a doorway with a candle
jGtZbC0thruow,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/jGtZbC0thruow.gif,King Kong Film GIF by hoppip,a man is flying over a city
PpCyq0bsGhERO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/PpCyq0bsGhERO.gif,mean girls whatever GIF,a girl with a pink shirt and a pink shirt
Hi2zvNbyWsFaM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Hi2zvNbyWsFaM.gif,Romeo And Juliet Crying GIF,a man in a floral shirt is sitting on a couch
4Ra6jnDDOVdNS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/4Ra6jnDDOVdNS.gif,The Breakfast Club Smoking GIF,a woman sitting on a chair
x755LoyTt9dUk,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/x755LoyTt9dUk.gif,Now Playing Movie Theater GIF by Film at Lincoln Center,a man standing in front of a building
13S1lWb5qheNBC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/13S1lWb5qheNBC.gif,Leonardo Dicaprio Dreaming GIF,a black object on a table
l0Ex3ijvSsICmvOLK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l0Ex3ijvSsICmvOLK.gif,Jack Lemmon Film GIF by The Academy Awards,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed
nLD20OgpndiEw,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/nLD20OgpndiEw.gif,Sunset Boulevard Smoking GIF,a black and white photo of a man in a suit
3uVDKeNFhgksU,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3uVDKeNFhgksU.gif,the royal tenenbaums thank you GIF,two young boys looking through a chain link fence
f8oqjTlp0PdMA,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/f8oqjTlp0PdMA.gif,Arnold Schwarzenegger Shut Up GIF,a man in a suit and tie is talking
rbmQ6CRJERE3K,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/rbmQ6CRJERE3K.gif,The Fifth Element GIF,a woman with red hair
12KlG0o01FZNQs,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/12KlG0o01FZNQs.gif,Sad Michael Fassbender GIF by The Good Films,a man standing in the rain
3oKHW5HcygwWE8XgHK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3oKHW5HcygwWE8XgHK.gif,the sandlot kiss GIF,a man with no shirt
WY3dCO9TlqwaQ,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/WY3dCO9TlqwaQ.gif,Kerry Washington Films GIF,a woman with short hair and a white dress
u7uiWWbRFC2TC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/u7uiWWbRFC2TC.gif,Scarlett Johansson Movie GIF,a woman with a surprised expression
HY2d8hQZMbMju,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/HY2d8hQZMbMju.gif,debbie reynolds film GIF,a woman with blonde hair and a brown jacket
smGtEdVjeQysg,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/smGtEdVjeQysg.gif,Back To The Future Nike GIF,a man sitting in a car
RYfRxW6qGOQN2,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/RYfRxW6qGOQN2.gif,Disappointed Movie Theater GIF,a cartoon movie with a dog in the middle
KjWWOh4lbhrva,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/KjWWOh4lbhrva.gif,Aishwarya Rai Bollywood GIF,a woman in a red sari with a green leaf in her mouth
SNf8OSoSlDIm0yrYxy,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/SNf8OSoSlDIm0yrYxy.gif,Joanna Hogg Film GIF,a woman sitting at a table
O11Sc36BqMyVG,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/O11Sc36BqMyVG.gif,studio ghibli GIF,a woman in a white dress is walking down a street
26tPtM8Arb1nyc1i0,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/26tPtM8Arb1nyc1i0.gif,Macaulay Culkin Oops GIF by Home Alone,a man in a bathroom with a red lipstick on his face
XADqhTKtqg06c,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/XADqhTKtqg06c.gif,A Trip To The Moon Movie GIF by Tech Noir,a bottle of beer
26tPtM8Arb1nyc1i0,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/26tPtM8Arb1nyc1i0.gif,Macaulay Culkin Oops GIF by Home Alone,a man in a bathroom with a red lipstick on his face
aBcsaAYpBEtLW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/aBcsaAYpBEtLW.gif,Serious James Bond GIF,a man in a suit holding a gun
2lZOHXYYWQTtu,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/2lZOHXYYWQTtu.gif,bored al pacino GIF,a man sitting in the grass
10KL1QSQNsyEZa,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10KL1QSQNsyEZa.gif,Paul Walker GIF by Furious 7,a man driving a car
MNCeuUJfRykxi,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/MNCeuUJfRykxi.gif,Yelling The Mummy GIF,a man and woman standing in front of a wall
A2W1Qq8pGpm3S,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/A2W1Qq8pGpm3S.gif,Arnold Schwarzenegger Film GIF by Tech Noir,a man holding a knife in his hand
G619lXOyFZb5S,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/G619lXOyFZb5S.gif,Logan Lerman No GIF,a woman with long hair
kVRBvsiOyBM8o,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/kVRBvsiOyBM8o.gif,Eddie Murphy Smile GIF,two men sitting at a table with a cake
CvGa6hlslCiXC3wf9r,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/CvGa6hlslCiXC3wf9r.gif,Oprah Cinephile GIF by Golden Globes,a woman in a purple dress
qDhXlK4FnpSDK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qDhXlK4FnpSDK.gif,White Chicks Burn GIF,the carries - - - - - - - - - - - - - - - - -
kB2uyoigIXPMI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/kB2uyoigIXPMI.gif,star wars GIF,yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo
XJF0h4EHscwHm,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/XJF0h4EHscwHm.gif,Ignore The Breakfast Club GIF,a man in a denim jacket and a white shirt
WrKkFqdpoOUBq,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/WrKkFqdpoOUBq.gif,Tim Burton 80S GIF,a man in a suit with a gun
NN9YQXuUlhh84,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/NN9YQXuUlhh84.gif,reese witherspoon film GIF,a woman is smiling while a man is holding a fron
Tbpc95JLaz4LC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Tbpc95JLaz4LC.gif,Angry Jingle All The Way GIF,a man in a blue coat and hat walking down a hallway
1zd2LUEk9DrvW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/1zd2LUEk9DrvW.gif,Robin Hood Goatee GIF,a man in a green hat and brown jacket
DKiI2927B1xFC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/DKiI2927B1xFC.gif,Christina Vidal Disney GIF,a woman with a cigarette in her mouth
8hvb1Ok0hJ2OQ,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/8hvb1Ok0hJ2OQ.gif,psycho jurassic park GIF,a woman driving a car with a man behind her
D6zTH34ZKARTW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/D6zTH34ZKARTW.gif,brad pitt vampires GIF,two men in a room with a quote on the wall
9RsqYphkRclz2,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/9RsqYphkRclz2.gif,Moonrise Kingdom Dancing GIF,two girls standing on the beach
10ExQg4YwG1p8k,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10ExQg4YwG1p8k.gif,Snow White Film GIF,a blue apple hanging from a hook
brjJHcjSkifte,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/brjJHcjSkifte.gif,in space ship happy dance GIF,a woman in a white dress standing in front of a planet
j2D2fnqcQquzu,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/j2D2fnqcQquzu.gif,The Breakfast Club 80S GIF by HuffPost,a woman with a black jacket and a black shirt
hC7hhvggNdbMc,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/hC7hhvggNdbMc.gif,Happy Good Burger GIF,a woman in a striped shirt and a hat holding a hamburger
ZNzFSd6F427bG,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/ZNzFSd6F427bG.gif,sexy marilyn monroe GIF,a woman in a pink dress
WYVHeDgRR2o24,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/WYVHeDgRR2o24.gif,Mel Brooks GIF,a man sitting on a chair in front of a blackboard
G2UovGbsa17Fu,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/G2UovGbsa17Fu.gif,Top Hat Fancy GIF,a man and woman dancing in a courtyard
4pb05K5LtdRXq,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/4pb05K5LtdRXq.gif,Star Trek Sea GIF,a man in a red shirt standing in front of a computer
fvtmoJ7S6GzRe,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/fvtmoJ7S6GzRe.gif,Frustrated Body GIF,a man in a suit
110G1vtyxUJ4go,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/110G1vtyxUJ4go.gif,Coming Soon Love GIF,a man and woman are looking at each other people
10nQVrNmo9klUI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10nQVrNmo9klUI.gif,Movie Star GIF,a man in a suit with a sword
11Uo8lZPWnkq3e,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/11Uo8lZPWnkq3e.gif,Moonrise Kingdom Beach GIF,a couple of suitcases sitting on a beach
aF1N95HefyANO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/aF1N95HefyANO.gif,Willy Wonka Singing GIF,a room with a mirror and a mirror in it
3oEduMcvxTNPlGuhH2,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3oEduMcvxTNPlGuhH2.gif,Hungry Disney GIF by The Good Dinosaur,a green bird is perched on a tree branch
SHppUTMNewZwc,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/SHppUTMNewZwc.gif,Star Wars No GIF,a man in a dark room with a light coming from the ceiling
rHVbvmCFpuvmM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/rHVbvmCFpuvmM.gif,Jurassic Park Dinosaurs GIF by Digg,two men in a forest
1iW2iFjGi8Mu7yfK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/1iW2iFjGi8Mu7yfK.gif,bob hope art GIF by The Academy Awards,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed
Bz4tJnw3uep8s,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Bz4tJnw3uep8s.gif,Johnny Depp Love GIF,a man in a car
T3VllkrxQ1JXG,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/T3VllkrxQ1JXG.gif,Suspicious Jeanne Moreau GIF,a man in sunglasses and a black shirt
PpgBsb0Jfntio,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/PpgBsb0Jfntio.gif,Nervous Jeanne Moreau GIF,a woman in a black dress and a man in a suit
3o85xAymITsLwO0nIs,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3o85xAymITsLwO0nIs.gif,Looking Quentin Tarantino GIF,a man walking in a room with a clock
3LziqePgaY4uI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3LziqePgaY4uI.gif,sitting randal kleiser GIF,a woman sitting on a couch with a pink wig
l0O9xMYfZF67bjIcM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l0O9xMYfZF67bjIcM.gif,Scared Jurassic World GIF,a boy and a girl sitting on a bus
sgWHkkjwcnKes,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/sgWHkkjwcnKes.gif,Star Wars Film GIF,a group of people standing around a fire
TKrjl5inUPYoU,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/TKrjl5inUPYoU.gif,Animated GIF,a man with a hat and a baseball cap
PtUUcXERWXEYM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/PtUUcXERWXEYM.gif,toy story 3 applause GIF,a toy figure of a man
b9aScKLxdv0Y0,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/b9aScKLxdv0Y0.gif,Orson Welles Reaction GIF,a man with a cigarette in his mouth
XRWPkTfSZg9oY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/XRWPkTfSZg9oY.gif,Jimmy Stewart Babe GIF,a man in a hat and coat smoking a cigarette
J5mnrjmGTpdL2,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/J5mnrjmGTpdL2.gif,Cary Grant Cinema GIF,a man in a suit and tie standing next to another man in a suit
Xxd0GjmiHOzvi,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Xxd0GjmiHOzvi.gif,Vin Diesel Action GIF by Furious 7,a large building with a lot of stairs
l41lX21w8cZu7Nqpy,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l41lX21w8cZu7Nqpy.gif,Disney Cross Eyed GIF by The Good Dinosaur,a green dinosaur with a big nose
3rEi755PzPwqY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3rEi755PzPwqY.gif,Jurassic Park Dinosaurs GIF by Digg,a group of oshes on a road
avbafjL1jRiFy,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/avbafjL1jRiFy.gif,Confused Jim Carrey GIF,a man in a shirt holding a box of food
zMIFs34GqnquI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/zMIFs34GqnquI.gif,Star Wars GIF,a view of a city from an airplane
xTiTnmuDsR7NtN9XWw,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/xTiTnmuDsR7NtN9XWw.gif,Spying Jurassic World GIF,a bird is sitting in the grass
qqy8lV7Br6mx8C2qWd,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qqy8lV7Br6mx8C2qWd.gif,Kung Fu Wtf GIF by A24,a woman in a white dress
3ornka9rAaKRA2Rkac,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3ornka9rAaKRA2Rkac.gif,Its A Trap GIF by Star Wars,a man in a white shirt
pHb82xtBPfqEg,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/pHb82xtBPfqEg.gif,Arnold Schwarzenegger Handshake GIF,a man in a white shirt
10osILvZ4ez7ws,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10osILvZ4ez7ws.gif,Harry Potter Snape Always GIF,a man with long hair and a black coat
g5zvwUa9720pO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/g5zvwUa9720pO.gif,Matthew Mcconaughey GIF,a man in a car
yVZrYMkdgY5Pi,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/yVZrYMkdgY5Pi.gif,Shirley Temple Giggle GIF,a young girl in a white dress smiles at the camera
14ghVSBbXb7Gco,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/14ghVSBbXb7Gco.gif,talking young jeezy GIF,dont be hatin
14ceV8wMLIGO6Q,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/14ceV8wMLIGO6Q.gif,boom smile GIF,a man with a beard
hEwkspP1OllJK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/hEwkspP1OllJK.gif,the sandlot GIF,a man in uniform is holding a stick
Z5eFxoKjf218c,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Z5eFxoKjf218c.gif,come on chunk GIF,a young girl looking over a fence
HFyBNSSlNwNKE,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/HFyBNSSlNwNKE.gif,dead poets society GIF,a cat is walking on a table
CAxbo8KC2A0y4,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/CAxbo8KC2A0y4.gif,Happy Pumped Up GIF by Universal Pictures Home Entertainment,a man in a car
10uct1aSFT7QiY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10uct1aSFT7QiY.gif,Surprised Nicolas Cage GIF,a man in a suit and tie with the words you don ' t say
RUUdVZqwpfTRS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/RUUdVZqwpfTRS.gif,star wars GIF,a dog with a black collar
nbsIAR9Pc9wMBEshgC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/nbsIAR9Pc9wMBEshgC.gif,Pop Corn GIF by REYKON,a man holding a box of popcorn
XmiTYLQ5qXTqM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/XmiTYLQ5qXTqM.gif,Gay Hearts GIF,a man in a white outfit standing next to a woman
hcsoflVVr8gYE,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/hcsoflVVr8gYE.gif,Leaving French Cinema GIF,a bunch of balloons
GCvktC0KFy9l6,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/GCvktC0KFy9l6.gif,Go Ahead Yes GIF,a cat sitting on a table with a glass of wine
l2JJKs3I69qfaQleE,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l2JJKs3I69qfaQleE.gif,Obi Wan Mind GIF by Star Wars,a man in a brown coat
jeXiz1RAvzX44,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/jeXiz1RAvzX44.gif,Dr Evil Whatever GIF,a man in a grey shirt sitting at a table
UjBvt2DJobX7q,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/UjBvt2DJobX7q.gif,Scared Peace Out GIF,a man with long hair and a pink shirt
sR91D133W02D6,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/sR91D133W02D6.gif,Child Smile GIF,a little girl looking up at a kite
nC1toglzIfNFC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/nC1toglzIfNFC.gif,Shocked Genie GIF,the cat and the mouse from the animated animated movie
ceK5e0DXc7Zh6,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/ceK5e0DXc7Zh6.gif,Hang Loose Pauly Shore GIF,a man with long curly hair
iMQ2kjkP8chaj02EjB,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/iMQ2kjkP8chaj02EjB.gif,Confused What Happened GIF by Google,a man laying on the floor with a chicken in the background
zVxeZHKKemqWs,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/zVxeZHKKemqWs.gif,mac and me falling GIF,a man in a wheelchair
VH8QBcXLrfz1u,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/VH8QBcXLrfz1u.gif,Cloudy With A Chance Of Meatballs Eating GIF,a woman sitting on a beach chair in a crowded area
gdUVz1Z6jpMk0,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/gdUVz1Z6jpMk0.gif,Bill Murray Film GIF by Hollywood Suite,a man holding a bird in his hand
l0MYKFSWjNzFXL76o,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l0MYKFSWjNzFXL76o.gif,Las Vegas GIF by Legendary Entertainment,a man sitting in a convertible car with two men sitting in the back
