GIF_ID,File_Name,Caption,Enhanced_Caption
CH0fzClj8QCDS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/CH0fzClj8QCDS.gif,Serious Biy GIF,a young boy reading a book in front of a lit candle
FiBzv5FRE85PO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/FiBzv5FRE85PO.gif,Henry Cavill Superman GIF,a man in a black coat
qGyNYdgDARies,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qGyNYdgDARies.gif,jim carrey love GIF,a man in a hat and a woman in a dress
R6gvnAxj2ISzJdbA63,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/R6gvnAxj2ISzJdbA63.gif,Happy I Love You GIF by Warner Bros. Deutschland,a man with long hair
13ea4eXuOuQsmY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/13ea4eXuOuQsmY.gif,Scheming Area 51 GIF,a man with a large head and a large knife
rHR8qP1mC5V3G,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/rHR8qP1mC5V3G.gif,Star Wars Salute GIF,a man in a vest pointing at something
KJXClfNiq0vCM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/KJXClfNiq0vCM.gif,Mothers Day Mom GIF,a woman in a pink jacket and a man in a white shirt
T08JhumnpKAI8,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/T08JhumnpKAI8.gif,Watching Arnold Schwarzenegger GIF,a man in a suit with a microphone
9J8gnvAxmDFbG,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/9J8gnvAxmDFbG.gif,Harrison Ford GIF,a man in a hat and a hat on a rock
d2qJhxeaaWXPG,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/d2qJhxeaaWXPG.gif,Line Waiting GIF,a group of people sitting on a couch
iYi1Ni72bS12,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/iYi1Ni72bS12.gif,Whats Up Mexican GIF,a man in a blue shirt
TUCGmddm9Kbny,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/TUCGmddm9Kbny.gif,johnny depp ew GIF,a man with a pirate hat and a beard
xsF1FSDbjguis,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/xsF1FSDbjguis.gif,Back To The Future GIF,a clock with a yellow display
2t9sDPrlvFpdK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/2t9sDPrlvFpdK.gif,salutes jack black GIF,a man in a black shirt
8ef68WfQPpwVa,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/8ef68WfQPpwVa.gif,Jim Carrey Deal With It GIF,a man is standing next to a car
13aSSyJaI5NkTm,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/13aSSyJaI5NkTm.gif,Jack Black Smile GIF,a man with a mustache and a blue shirt
phajKPhwNxHr2,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/phajKPhwNxHr2.gif,Happy Gilmore Cinema Supremo GIF,a man in a gray shirt
Us9Ibqg4H0mTC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Us9Ibqg4H0mTC.gif,happy grin GIF,a little girl standing in front of a doll house
RfEbMBTPQ7MOY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/RfEbMBTPQ7MOY.gif,terminator GIF,a man in sunglasses looking out the window
Il1dji926Y7qo,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Il1dji926Y7qo.gif,I Swear Promise GIF,a man with glasses and a jacket
Yb3d5B1zwuhCo,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Yb3d5B1zwuhCo.gif,anchorman GIF,a group of men walking down a street
TejmLnMKgnmPInMQjV,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/TejmLnMKgnmPInMQjV.gif,Kung Fu Wtf GIF by A24,a rock on the ground
zhJ55GsXRajxm,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/zhJ55GsXRajxm.gif,Laugh Laughing GIF,a dog is sitting on a chair in a theater
qr0FOwPgUk3Cw,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qr0FOwPgUk3Cw.gif,Will Ferrell GIF,two men in red shirts
4FrEtm7JKksKc,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/4FrEtm7JKksKc.gif,Pretty In Pink Tuxedo GIF,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed
cd87BccyY3Ecg,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/cd87BccyY3Ecg.gif,waynes world headbang GIF,"the cast of the movie ' s ' friends, ' in a car"
39fj7g99qyD72,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/39fj7g99qyD72.gif,Singing In The Rain Dancing GIF,a man in a suit and tie walking through a flooded street
5ZUpMAtxpo0NO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/5ZUpMAtxpo0NO.gif,Chris Farley Cinema Supremo GIF,a man in a suit and tie is standing in front of a window
5fOiRnJOUnTMY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/5fOiRnJOUnTMY.gif,Disturbing The Ring GIF,a person walking in a room with a dog
c8RrC4dCLScNO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/c8RrC4dCLScNO.gif,scary movie GIF,a man in a suit and tie is standing on a brick wall
lKZEeXJGhU1d6,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/lKZEeXJGhU1d6.gif,Scared Freak Out GIF,two minions minions minions minions minions minions minions minions minions minions minions minions minions minions minions minions minions minions minions
qvhtVUPpZQgAU,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qvhtVUPpZQgAU.gif,willy wonka and the chocolate factory dancing GIF,a group of people sitting in a room
oVL1n7Yxs538c,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/oVL1n7Yxs538c.gif,Animated GIF,a man is standing in a window with a green shirt
knVLsGuizHcMo,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/knVLsGuizHcMo.gif,Art Film GIF by hoppip,a man in a black robe standing in a doorway
vIwN3gm2oGrpm,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/vIwN3gm2oGrpm.gif,Joseph Gordon Levitt Angels GIF,a baseball player is standing on the dug
dhCx7EyeGYD7O,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/dhCx7EyeGYD7O.gif,Nicolas Cage Wink GIF,a man with long hair and a blue tank top
keaxYUhihiYPS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/keaxYUhihiYPS.gif,Angry Paul Rudd GIF,a man and woman sitting at a table
bPdI2MXEbnDUs,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/bPdI2MXEbnDUs.gif,Dumb And Dumber Crying GIF,a woman in a bathrobe
gbDsm8Hn7aIuc,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/gbDsm8Hn7aIuc.gif,Black And White Love GIF,a person holding a piece of paper in their hand
XDGcdXhDrofJe,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/XDGcdXhDrofJe.gif,Charlie Sheen Baseball GIF by Comedy Central,a man holding a baseball bat on a field
bC54CmvT2XC9i,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/bC54CmvT2XC9i.gif,Adam Sandler Golf GIF,a group of people standing in a field
13kZCZHYwlpues,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/13kZCZHYwlpues.gif,emma roberts tongue out GIF,a woman with long hair and a black shirt
IXm7jqCjf1G9y,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/IXm7jqCjf1G9y.gif,braveheart GIF,the walking dead season 3 episode 3
9YtQ1PRAsCpUY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/9YtQ1PRAsCpUY.gif,Alicia Silverstone Flirt GIF,a woman in a white dress eating a piece of cake
p092OM3vVCXII,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/p092OM3vVCXII.gif,im so old home alone GIF,a woman with a red nose and a black nose
tEsPVINETtZpS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/tEsPVINETtZpS.gif,back to the future GIF,a man with a microphone and a quote on it
c5av6uHZRy0vu,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/c5av6uHZRy0vu.gif,waynes world GIF,a group of people standing around a table
12t9qSvUj3cdbO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/12t9qSvUj3cdbO.gif,Dance Movie GIF by Hollywood Suite,a woman in a dance class
zzoDrOX7SVRE4,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/zzoDrOX7SVRE4.gif,the lord of the rings adventure GIF,"a black and white image with the words all shalle, and des"
qyxyGxszt6LXW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qyxyGxszt6LXW.gif,forrest gump 90s GIF,a man and a little girl sitting on a bus
101DNxoBTatF16,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/101DNxoBTatF16.gif,How Are You Doing Whats Up GIF,a person in a mask sitting at a table
3o7rc0qU6m5hneMsuc,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3o7rc0qU6m5hneMsuc.gif,National Popcorn Day GIF by Angry Birds,a couple of birds sitting in a movie theater
dFf0MERFSuocE,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/dFf0MERFSuocE.gif,Jon Lovitz Creeper GIF,a man in a black shirt
p55iGp1XppSv4WiV2y,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/p55iGp1XppSv4WiV2y.gif,Watching Ice Cream GIF by KETNIPZ,a cartoon character is watching a television
OgbPFB5AE3jW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/OgbPFB5AE3jW.gif,Waynes World No GIF,a man and woman are standing in a room
1427cjQy7kiBS8,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/1427cjQy7kiBS8.gif,Relaxed Couple GIF,a woman laying on a bed with a remote control
GGthjnMpLXu4o,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/GGthjnMpLXu4o.gif,hattie mcdaniel GIF,a woman in a black and white dress is standing in front of a mirror
kNTAHtqCfu6nm,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/kNTAHtqCfu6nm.gif,Will Ferrell GIF,a man wearing a helmet
OiNW0PypI1RaE,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/OiNW0PypI1RaE.gif,Animated GIF,a man with a beard
9aZ3Snou3bdlu,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/9aZ3Snou3bdlu.gif,Awkward Jim Carrey GIF,a man in a car
12PIT4DOj6Tgek,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/12PIT4DOj6Tgek.gif,Happy Cracking Up GIF,a young girl in a white dress smiles at the camera
61nocPZboqCGI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/61nocPZboqCGI.gif,Ice Cream Hospital GIF,two men laying in bed
yoJC2BlMMydcdBvgze,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/yoJC2BlMMydcdBvgze.gif,im back john wick GIF,a man in a suit and tie is looking at the camera
w8t89p4VBJytG,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/w8t89p4VBJytG.gif,New York Film GIF,a pile of crushed chocolate
7X1DWR8wFWzxS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/7X1DWR8wFWzxS.gif,star wars robot GIF,a scene of a star wars scene with a robot and a r2
OUoK5YGI8oKmQ,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/OUoK5YGI8oKmQ.gif,ben stiller shut up GIF,a man with a mustache
AUGqun7QALo0o,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/AUGqun7QALo0o.gif,frozen GIF,elsa from frozen world
13WVgB4UR7hK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/13WVgB4UR7hK.gif,shocked back to the future GIF,a man in a suit and tie
hDFyKdd2XBqU,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/hDFyKdd2XBqU.gif,alien high kick GIF,a statue of a man
7mFmPxctsL6YU,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/7mFmPxctsL6YU.gif,Angelina Jolie Disney GIF by Maleficent,maleficent maleficent maleficent maleficent maleficent maleficent malefi
2YQr5RmVZMj6g,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/2YQr5RmVZMj6g.gif,sofia coppola grass GIF,a woman in a white dress walking through a field
U3BWiPeOtxT2w,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/U3BWiPeOtxT2w.gif,The Addams Family 90S GIF,a man with a bald head
ubKUtThRLlly8,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/ubKUtThRLlly8.gif,wizard of oz GIF,a woman walking a dog
jN0ygssTH2hoI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/jN0ygssTH2hoI.gif,De Acuerdo Agree GIF,a man in a blue shirt
l3vR94yj2b1nTDw1G,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l3vR94yj2b1nTDw1G.gif,Driving Las Vegas GIF by Legendary Entertainment,a man in a car with a dog in the back seat
mCxZH1Bi9o2aY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/mCxZH1Bi9o2aY.gif,paul feig look GIF,a man in a black jacket
VgeGEVTdwzZao,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/VgeGEVTdwzZao.gif,Teenage Mutant Ninja Turtles Reaction GIF,a group of people sitting around a table
dDoW9Cl6dImMo,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/dDoW9Cl6dImMo.gif,despicable me agnes GIF,a little girl with a red bow on her head
10tQozotSMgnja,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10tQozotSMgnja.gif,problem child satan GIF,a little boy dressed as a red devil
WXHr5GaFi116g,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/WXHr5GaFi116g.gif,titanic GIF,a woman sitting on a bench
OUPyCjSwnMMlW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/OUPyCjSwnMMlW.gif,tom hanks 90s GIF,a man in a suit and tie is talking to another man
inVTEIKYPeqR2,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/inVTEIKYPeqR2.gif,star wars GIF,a man laying on a blue box with a white shirt
FmTesyMORvD9u,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/FmTesyMORvD9u.gif,Want GIF,a woman in a black dress holding a gun
4v9ZLihPewmNa,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/4v9ZLihPewmNa.gif,arrested development Bluths GIF by Digg,a woman standing in a kitchen
icuYWSF0OqvRu,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/icuYWSF0OqvRu.gif,the eclipse moon GIF by hoppip,a black and white image of two people on a moon
W8rUusbnN4FmU,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/W8rUusbnN4FmU.gif,The Fifth Element Food GIF,a woman with red hair and a red wig
5LACPAu24G37i,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/5LACPAu24G37i.gif,Wesley Snipes Film GIF,a man in a suit and tie with a quote on it
YPEpEDDFs7sEU,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/YPEpEDDFs7sEU.gif,fuck my life fml GIF,a woman with red hair
ebMqYaUqR3hrW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/ebMqYaUqR3hrW.gif,back to the future GIF,a man with a white hair
oPmxYvyUGO6bK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/oPmxYvyUGO6bK.gif,frozen animation GIF,a snowman is standing in front of a snowman
x609PysrX0lCE,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/x609PysrX0lCE.gif,braveheart GIF,a man riding a horse
6LxGaLrEdGNHi,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/6LxGaLrEdGNHi.gif,Robin Hood Disney GIF,a fox in the woods with a bag
10Sjw8diQ5BJrq,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10Sjw8diQ5BJrq.gif,frozen animation GIF,a frozen frozen frozen frozen frozen frozen frozen frozen frozen frozen frozen frozen frozen frozen frozen frozen frozen frozen frozen
KZocN3LfuqktW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/KZocN3LfuqktW.gif,star wars film GIF,yoo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo
OEl7x4fTPczEk,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/OEl7x4fTPczEk.gif,julie andrews shrug GIF,a woman in a black dress
HuRbUuSt2XXEY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/HuRbUuSt2XXEY.gif,Happy Waking Up GIF,a woman laying in bed
uI8kvj4paUiLm,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/uI8kvj4paUiLm.gif,deadpool GIF,a man in a red suit
4UHVCPKYeWHYY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/4UHVCPKYeWHYY.gif,the sopranos hbo GIF,a man in a hawaiian shirt smoking a cigarette
YDxzHaDMBsMW4,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/YDxzHaDMBsMW4.gif,Tony Montana Scarface GIF,a man sitting on a chair with a woman standing behind him
5jD7vcS2tecxO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/5jD7vcS2tecxO.gif,star wars GIF,a cat sitting on a table
2OgXMTOzqRxZu,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/2OgXMTOzqRxZu.gif,back to the future GIF,a man with a red vest
qmlX8ClsVWwsU,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qmlX8ClsVWwsU.gif,john travolta grease GIF,a cartoon character with a red shirt and blue pants
WbheD0Y54pBPW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/WbheD0Y54pBPW.gif,star wars GIF,yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo
VRolEcq3Z4axa,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/VRolEcq3Z4axa.gif,Waving Home Alone GIF,a young boy looking through a window
Ivmf74DbIBFPa,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Ivmf74DbIBFPa.gif,jurassic park cinema GIF,a man in glasses and a leather jacket with a quote on it
HIrYP4RI9DpLy,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/HIrYP4RI9DpLy.gif,clean up GIF,a woman cleaning a living room with a mop
vMWq5dvuuiQmc,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/vMWq5dvuuiQmc.gif,12 Years A Slave GIF,a woman with a face painted in black
JjUMxtqGYXaKc,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/JjUMxtqGYXaKc.gif,according war room GIF,"a man smoking a cigarette with the capt that reads, ' to say impurr of produ"
kznal07FJDUsw,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/kznal07FJDUsw.gif,Sexy Chris Farley GIF,a man in a bathroom
X753xqJRL15Pa,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/X753xqJRL15Pa.gif,angry the office GIF,a man in a suit and tie sitting at a table
ci0uDcGQtBh0k,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/ci0uDcGQtBh0k.gif,Happy Andy Samberg GIF,a man with a tie around his neck
ajQdLzFfWXEQw,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/ajQdLzFfWXEQw.gif,jamie foxx cowboy GIF,a man in a hat and a hat on a horse
GD8ypYfe6WnBu,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/GD8ypYfe6WnBu.gif,fuck my life fml GIF,a man with a knife and a cell
79ZFYdMsStRYI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/79ZFYdMsStRYI.gif,x-men goodbye GIF,a man wearing a hat
ZPHXO9RcU4Q2k,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/ZPHXO9RcU4Q2k.gif,star wars jedi GIF,a scene of a scene from star wars
aOIa4DvGN4M5q,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/aOIa4DvGN4M5q.gif,logo meow GIF,a cat with a ribbon around its neck
EUoQnnYBXiR4Q,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/EUoQnnYBXiR4Q.gif,black and white love GIF,a black and white photo of a baby ' s feet
wW0I7ayjRkTdK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/wW0I7ayjRkTdK.gif,Poetic Justice Thinking GIF,a man with a hat and a cell
QynHhYJiwfoJO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/QynHhYJiwfoJO.gif,star wars GIF,yoo yoo yoo yoo yoo yoo yoo yoo yoo yoo
114YgIm9NL6EDe,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/114YgIm9NL6EDe.gif,Chris Farley Cinema Supremo GIF,a man in a car with a surprised look on his face
THzS8cPZPwr5e,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/THzS8cPZPwr5e.gif,zoolander GIF,a man walking down a street in a city
11YjSCHL4v3tF6,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/11YjSCHL4v3tF6.gif,mad men smoking GIF,a woman sitting in a car with a cigarette in her mouth
1252MBJs73oIdq,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/1252MBJs73oIdq.gif,Lauren Bacall Fashion GIF,a woman with a hat on
30e7fUZYWFz1u,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/30e7fUZYWFz1u.gif,happy endings helmet GIF,a woman in a helmet with a man behind her
p71R5kxVjG8ww,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/p71R5kxVjG8ww.gif,Scared Denzel Washington GIF,a man in a black shirt and hat
nnngUm3dnQrrq,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/nnngUm3dnQrrq.gif,crazy nicolas cage GIF,a man holding a knife in his hand
qHBBYAh7BZVm,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qHBBYAh7BZVm.gif,arnold schwarzenegger eyes GIF,a close up of a person ' s face
7MdjxhX0qxpfy,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/7MdjxhX0qxpfy.gif,chef cooking GIF,a person cooking food on a grill
12pCd2XbVGbFJe,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/12pCd2XbVGbFJe.gif,sarah jessica parker bride GIF,a woman in a wedding dress and veil
aq6wETurhpbc4,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/aq6wETurhpbc4.gif,jaws smoking GIF,a man in a hat and glasses standing next to another man
nJZV6hKtNeSBO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/nJZV6hKtNeSBO.gif,Peter Pan Disney GIF,a cartoon figure sitting on top of a block
MNgO6pOH5iNEI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/MNgO6pOH5iNEI.gif,the craft witch GIF,a woman with a gun in her hand
